user_activity,user_category_pref,product_id,product_activity,product_category,product_price,product_views,product_purchases,product_rating,same_activity,same_category,score
skating,Accessories,4,running,Accessories,15.99,150,40,3.8,0,1,0.4541
skating,Safety,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.1925
skating,Safety,3,running,Clothing,9.99,180,95,4.0,0,0,0.3434
cycling,Clothing,4,running,Accessories,15.99,150,40,3.8,0,0,0.115
skating,Accessories,12,skating,Safety,44.99,155,40,4.5,1,0,0.5466
skating,Safety,15,skating,Accessories,34.99,140,38,3.9,1,0,0.6103
skating,Safety,6,cycling,Safety,49.99,280,70,4.7,0,1,0.5239
running,Clothing,9,cycling,Clothing,59.99,240,65,4.4,0,1,0.4706
cycling,Footwear,13,skating,Footwear,89.99,200,55,4.3,0,1,0.4152
running,Footwear,3,running,Clothing,9.99,180,95,4.0,1,0,0.7179
skating,Clothing,13,skating,Footwear,89.99,200,55,4.3,1,0,0.5471
skating,Safety,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.195
running,Safety,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2305
skating,Safety,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.3149
cycling,Footwear,11,skating,Safety,29.99,170,45,4.2,0,0,0.2432
skating,Footwear,11,skating,Safety,29.99,170,45,4.2,1,0,0.5379
skating,Accessories,13,skating,Footwear,89.99,200,55,4.3,1,0,0.6372
skating,Accessories,2,running,Clothing,29.99,210,60,4.2,0,0,0.2408
cycling,Safety,3,running,Clothing,9.99,180,95,4.0,0,0,0.2992
cycling,Footwear,12,skating,Safety,44.99,155,40,4.5,0,0,0.2436
skating,Accessories,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.3136
running,Footwear,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2466
skating,Accessories,14,skating,Clothing,11.99,120,35,3.7,1,0,0.558
skating,Clothing,3,running,Clothing,9.99,180,95,4.0,0,1,0.5175
cycling,Clothing,9,cycling,Clothing,59.99,240,65,4.4,1,1,0.8786
skating,Footwear,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.2798
cycling,Safety,1,running,Footwear,99.99,320,85,4.5,0,0,0.268
running,Accessories,15,skating,Accessories,34.99,140,38,3.9,0,1,0.3912
cycling,Clothing,1,running,Footwear,99.99,320,85,4.5,0,0,0.2367
running,Footwear,2,running,Clothing,29.99,210,60,4.2,1,0,0.6002
skating,Safety,14,skating,Clothing,11.99,120,35,3.7,1,0,0.6406
running,Clothing,3,running,Clothing,9.99,180,95,4.0,1,1,1.0
skating,Safety,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2584
running,Accessories,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.3122
skating,Safety,4,running,Accessories,15.99,150,40,3.8,0,0,0.2311
skating,Clothing,12,skating,Safety,44.99,155,40,4.5,1,0,0.5807
cycling,Safety,11,skating,Safety,29.99,170,45,4.2,0,1,0.4441
skating,Accessories,8,cycling,Accessories,12.99,160,45,4.0,0,1,0.5064
skating,Safety,2,running,Clothing,29.99,210,60,4.2,0,0,0.2582
running,Clothing,2,running,Clothing,29.99,210,60,4.2,1,1,0.9382
cycling,Footwear,10,cycling,Clothing,39.99,190,50,4.1,1,0,0.5
skating,Clothing,10,cycling,Clothing,39.99,190,50,4.1,0,1,0.4721
running,Footwear,2,running,Clothing,29.99,210,60,4.2,1,0,0.6644
skating,Footwear,4,running,Accessories,15.99,150,40,3.8,0,0,0.1981
running,Footwear,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2046
cycling,Footwear,9,cycling,Clothing,59.99,240,65,4.4,1,0,0.5626
running,Accessories,11,skating,Safety,29.99,170,45,4.2,0,0,0.215
cycling,Clothing,9,cycling,Clothing,59.99,240,65,4.4,1,1,0.8799
running,Safety,4,running,Accessories,15.99,150,40,3.8,1,0,0.6869
cycling,Safety,4,running,Accessories,15.99,150,40,3.8,0,0,0.1871
running,Footwear,11,skating,Safety,29.99,170,45,4.2,0,0,0.1856
cycling,Accessories,7,cycling,Clothing,24.99,200,55,4.3,1,0,0.6284
cycling,Safety,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2458
skating,Footwear,11,skating,Safety,29.99,170,45,4.2,1,0,0.6424
skating,Footwear,1,running,Footwear,99.99,320,85,4.5,0,1,0.4655
cycling,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2467
running,Clothing,4,running,Accessories,15.99,150,40,3.8,1,0,0.6179
running,Safety,3,running,Clothing,9.99,180,95,4.0,1,0,0.7814
cycling,Clothing,5,running,Accessories,19.99,130,35,3.9,0,0,0.1659
cycling,Clothing,14,skating,Clothing,11.99,120,35,3.7,0,1,0.3836
running,Safety,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2014
skating,Footwear,1,running,Footwear,99.99,320,85,4.5,0,1,0.4188
skating,Footwear,2,running,Clothing,29.99,210,60,4.2,0,0,0.2748
running,Clothing,7,cycling,Clothing,24.99,200,55,4.3,0,1,0.4666
cycling,Safety,4,running,Accessories,15.99,150,40,3.8,0,0,0.2133
cycling,Footwear,3,running,Clothing,9.99,180,95,4.0,0,0,0.3213
cycling,Footwear,7,cycling,Clothing,24.99,200,55,4.3,1,0,0.5827
cycling,Safety,5,running,Accessories,19.99,130,35,3.9,0,0,0.18
cycling,Safety,3,running,Clothing,9.99,180,95,4.0,0,0,0.3159
running,Accessories,4,running,Accessories,15.99,150,40,3.8,1,1,0.7729
running,Footwear,12,skating,Safety,44.99,155,40,4.5,0,0,0.2049
cycling,Footwear,1,running,Footwear,99.99,320,85,4.5,0,1,0.5122
skating,Safety,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.3563
skating,Clothing,1,running,Footwear,99.99,320,85,4.5,0,0,0.3007
skating,Footwear,14,skating,Clothing,11.99,120,35,3.7,1,0,0.6129
running,Footwear,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.2273
running,Clothing,7,cycling,Clothing,24.99,200,55,4.3,0,1,0.3576
running,Clothing,10,cycling,Clothing,39.99,190,50,4.1,0,1,0.4297
skating,Footwear,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.234
running,Safety,11,skating,Safety,29.99,170,45,4.2,0,1,0.5492
skating,Accessories,15,skating,Accessories,34.99,140,38,3.9,1,1,0.7909
cycling,Clothing,11,skating,Safety,29.99,170,45,4.2,0,0,0.2411
skating,Accessories,4,running,Accessories,15.99,150,40,3.8,0,1,0.4113
cycling,Safety,3,running,Clothing,9.99,180,95,4.0,0,0,0.2746
skating,Accessories,8,cycling,Accessories,12.99,160,45,4.0,0,1,0.4866
cycling,Footwear,1,running,Footwear,99.99,320,85,4.5,0,1,0.5296
cycling,Footwear,2,running,Clothing,29.99,210,60,4.2,0,0,0.2996
skating,Clothing,9,cycling,Clothing,59.99,240,65,4.4,0,1,0.4165
cycling,Clothing,15,skating,Accessories,34.99,140,38,3.9,0,0,0.2706
cycling,Footwear,15,skating,Accessories,34.99,140,38,3.9,0,0,0.1304
running,Accessories,5,running,Accessories,19.99,130,35,3.9,1,1,0.8303
running,Safety,14,skating,Clothing,11.99,120,35,3.7,0,0,0.3095
skating,Accessories,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.1815
skating,Footwear,11,skating,Safety,29.99,170,45,4.2,1,0,0.5977
skating,Accessories,15,skating,Accessories,34.99,140,38,3.9,1,1,0.8055
skating,Footwear,15,skating,Accessories,34.99,140,38,3.9,1,0,0.5753
running,Accessories,2,running,Clothing,29.99,210,60,4.2,1,0,0.5825
running,Clothing,5,running,Accessories,19.99,130,35,3.9,1,0,0.6044
cycling,Clothing,12,skating,Safety,44.99,155,40,4.5,0,0,0.1599
cycling,Clothing,11,skating,Safety,29.99,170,45,4.2,0,0,0.2497
skating,Accessories,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.216
cycling,Accessories,15,skating,Accessories,34.99,140,38,3.9,0,1,0.478
running,Footwear,11,skating,Safety,29.99,170,45,4.2,0,0,0.1868
cycling,Accessories,1,running,Footwear,99.99,320,85,4.5,0,0,0.2759
running,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2617
running,Accessories,3,running,Clothing,9.99,180,95,4.0,1,0,0.6715
skating,Safety,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2734
skating,Safety,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.3274
running,Footwear,2,running,Clothing,29.99,210,60,4.2,1,0,0.5796
skating,Clothing,9,cycling,Clothing,59.99,240,65,4.4,0,1,0.4712
running,Accessories,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.244
skating,Clothing,7,cycling,Clothing,24.99,200,55,4.3,0,1,0.4926
running,Footwear,5,running,Accessories,19.99,130,35,3.9,1,0,0.5392
cycling,Footwear,15,skating,Accessories,34.99,140,38,3.9,0,0,0.1345
cycling,Clothing,11,skating,Safety,29.99,170,45,4.2,0,0,0.2521
running,Footwear,6,cycling,Safety,49.99,280,70,4.7,0,0,0.3019
skating,Safety,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.2435
skating,Clothing,15,skating,Accessories,34.99,140,38,3.9,1,0,0.6178
running,Clothing,13,skating,Footwear,89.99,200,55,4.3,0,0,0.187
running,Safety,1,running,Footwear,99.99,320,85,4.5,1,0,0.7036
running,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2357
cycling,Clothing,5,running,Accessories,19.99,130,35,3.9,0,0,0.1653
running,Footwear,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.3468
running,Safety,4,running,Accessories,15.99,150,40,3.8,1,0,0.6367
running,Safety,6,cycling,Safety,49.99,280,70,4.7,0,1,0.4274
cycling,Clothing,4,running,Accessories,15.99,150,40,3.8,0,0,0.2458
running,Clothing,7,cycling,Clothing,24.99,200,55,4.3,0,1,0.4048
cycling,Accessories,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2394
running,Accessories,6,cycling,Safety,49.99,280,70,4.7,0,0,0.3449
skating,Safety,11,skating,Safety,29.99,170,45,4.2,1,1,0.785
skating,Accessories,1,running,Footwear,99.99,320,85,4.5,0,0,0.3402
running,Accessories,3,running,Clothing,9.99,180,95,4.0,1,0,0.7536
skating,Accessories,1,running,Footwear,99.99,320,85,4.5,0,0,0.3331
running,Safety,6,cycling,Safety,49.99,280,70,4.7,0,1,0.5818
skating,Accessories,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2412
skating,Footwear,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2158
skating,Clothing,5,running,Accessories,19.99,130,35,3.9,0,0,0.1565
running,Safety,1,running,Footwear,99.99,320,85,4.5,1,0,0.6512
skating,Clothing,6,cycling,Safety,49.99,280,70,4.7,0,0,0.2831
cycling,Footwear,11,skating,Safety,29.99,170,45,4.2,0,0,0.2431
cycling,Accessories,11,skating,Safety,29.99,170,45,4.2,0,0,0.2398
running,Accessories,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.3034
cycling,Safety,6,cycling,Safety,49.99,280,70,4.7,1,1,0.8877
cycling,Accessories,9,cycling,Clothing,59.99,240,65,4.4,1,0,0.7347
running,Clothing,7,cycling,Clothing,24.99,200,55,4.3,0,1,0.4403
skating,Safety,11,skating,Safety,29.99,170,45,4.2,1,1,0.962
skating,Clothing,10,cycling,Clothing,39.99,190,50,4.1,0,1,0.4623
skating,Accessories,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2106
skating,Footwear,5,running,Accessories,19.99,130,35,3.9,0,0,0.1475
cycling,Clothing,7,cycling,Clothing,24.99,200,55,4.3,1,1,0.8776
skating,Accessories,8,cycling,Accessories,12.99,160,45,4.0,0,1,0.4183
cycling,Safety,11,skating,Safety,29.99,170,45,4.2,0,1,0.4617
running,Safety,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2447
skating,Clothing,11,skating,Safety,29.99,170,45,4.2,1,0,0.6224
running,Accessories,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2197
skating,Accessories,2,running,Clothing,29.99,210,60,4.2,0,0,0.1843
running,Accessories,4,running,Accessories,15.99,150,40,3.8,1,1,0.7907
running,Clothing,1,running,Footwear,99.99,320,85,4.5,1,0,0.7348
running,Clothing,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2402
skating,Footwear,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.1672
cycling,Clothing,12,skating,Safety,44.99,155,40,4.5,0,0,0.2217
skating,Safety,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2488
cycling,Clothing,3,running,Clothing,9.99,180,95,4.0,0,1,0.4888
skating,Footwear,15,skating,Accessories,34.99,140,38,3.9,1,0,0.6082
running,Safety,4,running,Accessories,15.99,150,40,3.8,1,0,0.6159
running,Safety,1,running,Footwear,99.99,320,85,4.5,1,0,0.6349
skating,Clothing,15,skating,Accessories,34.99,140,38,3.9,1,0,0.6184
running,Safety,3,running,Clothing,9.99,180,95,4.0,1,0,0.761
cycling,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2752
cycling,Safety,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2527
skating,Safety,15,skating,Accessories,34.99,140,38,3.9,1,0,0.5316
running,Safety,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.1826
cycling,Clothing,14,skating,Clothing,11.99,120,35,3.7,0,1,0.4258
skating,Accessories,13,skating,Footwear,89.99,200,55,4.3,1,0,0.6467
skating,Safety,11,skating,Safety,29.99,170,45,4.2,1,1,0.8518
running,Accessories,8,cycling,Accessories,12.99,160,45,4.0,0,1,0.6221
running,Accessories,4,running,Accessories,15.99,150,40,3.8,1,1,0.8415
cycling,Accessories,6,cycling,Safety,49.99,280,70,4.7,1,0,0.7438
skating,Footwear,3,running,Clothing,9.99,180,95,4.0,0,0,0.3807
running,Clothing,7,cycling,Clothing,24.99,200,55,4.3,0,1,0.4861
skating,Clothing,12,skating,Safety,44.99,155,40,4.5,1,0,0.5972
running,Footwear,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2915
cycling,Accessories,9,cycling,Clothing,59.99,240,65,4.4,1,0,0.6234
cycling,Safety,1,running,Footwear,99.99,320,85,4.5,0,0,0.2802
running,Safety,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2292
skating,Footwear,14,skating,Clothing,11.99,120,35,3.7,1,0,0.6041
skating,Safety,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.3452
running,Accessories,5,running,Accessories,19.99,130,35,3.9,1,1,0.7076
cycling,Safety,9,cycling,Clothing,59.99,240,65,4.4,1,0,0.6963
skating,Clothing,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.1489
running,Accessories,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2299
cycling,Footwear,7,cycling,Clothing,24.99,200,55,4.3,1,0,0.708
cycling,Safety,12,skating,Safety,44.99,155,40,4.5,0,1,0.4162
running,Safety,15,skating,Accessories,34.99,140,38,3.9,0,0,0.1466
running,Footwear,15,skating,Accessories,34.99,140,38,3.9,0,0,0.1647
cycling,Footwear,2,running,Clothing,29.99,210,60,4.2,0,0,0.294
skating,Safety,3,running,Clothing,9.99,180,95,4.0,0,0,0.2965
cycling,Clothing,1,running,Footwear,99.99,320,85,4.5,0,0,0.3028
cycling,Safety,6,cycling,Safety,49.99,280,70,4.7,1,1,0.8893
running,Safety,6,cycling,Safety,49.99,280,70,4.7,0,1,0.4544
cycling,Safety,5,running,Accessories,19.99,130,35,3.9,0,0,0.3082
cycling,Accessories,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2317
running,Safety,1,running,Footwear,99.99,320,85,4.5,1,0,0.5907
skating,Footwear,6,cycling,Safety,49.99,280,70,4.7,0,0,0.2963
running,Footwear,13,skating,Footwear,89.99,200,55,4.3,0,1,0.3879
skating,Footwear,13,skating,Footwear,89.99,200,55,4.3,1,1,0.8636
running,Clothing,4,running,Accessories,15.99,150,40,3.8,1,0,0.5734
running,Clothing,4,running,Accessories,15.99,150,40,3.8,1,0,0.6073
running,Safety,11,skating,Safety,29.99,170,45,4.2,0,1,0.4513
running,Clothing,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2728
skating,Accessories,13,skating,Footwear,89.99,200,55,4.3,1,0,0.561
cycling,Clothing,10,cycling,Clothing,39.99,190,50,4.1,1,1,0.8143
skating,Footwear,13,skating,Footwear,89.99,200,55,4.3,1,1,0.7973
running,Accessories,2,running,Clothing,29.99,210,60,4.2,1,0,0.6273
skating,Footwear,15,skating,Accessories,34.99,140,38,3.9,1,0,0.6888
cycling,Safety,7,cycling,Clothing,24.99,200,55,4.3,1,0,0.6738
skating,Clothing,2,running,Clothing,29.99,210,60,4.2,0,1,0.397
skating,Clothing,2,running,Clothing,29.99,210,60,4.2,0,1,0.5059
skating,Accessories,14,skating,Clothing,11.99,120,35,3.7,1,0,0.7061
skating,Footwear,13,skating,Footwear,89.99,200,55,4.3,1,1,0.8726
skating,Footwear,6,cycling,Safety,49.99,280,70,4.7,0,0,0.211
skating,Safety,11,skating,Safety,29.99,170,45,4.2,1,1,0.8018
cycling,Footwear,9,cycling,Clothing,59.99,240,65,4.4,1,0,0.7254
skating,Accessories,1,running,Footwear,99.99,320,85,4.5,0,0,0.2566
cycling,Safety,2,running,Clothing,29.99,210,60,4.2,0,0,0.2822
cycling,Accessories,11,skating,Safety,29.99,170,45,4.2,0,0,0.2647
cycling,Clothing,7,cycling,Clothing,24.99,200,55,4.3,1,1,0.8072
running,Accessories,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.228
skating,Safety,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.0674
cycling,Accessories,6,cycling,Safety,49.99,280,70,4.7,1,0,0.6358
running,Footwear,5,running,Accessories,19.99,130,35,3.9,1,0,0.5884
cycling,Clothing,13,skating,Footwear,89.99,200,55,4.3,0,0,0.1586
cycling,Safety,6,cycling,Safety,49.99,280,70,4.7,1,1,0.9686
running,Safety,14,skating,Clothing,11.99,120,35,3.7,0,0,0.1285
cycling,Clothing,8,cycling,Accessories,12.99,160,45,4.0,1,0,0.6075
running,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2275
cycling,Accessories,5,running,Accessories,19.99,130,35,3.9,0,1,0.4731
skating,Accessories,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.1902
running,Clothing,2,running,Clothing,29.99,210,60,4.2,1,1,0.9182
running,Safety,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.23
skating,Clothing,12,skating,Safety,44.99,155,40,4.5,1,0,0.5639
cycling,Safety,8,cycling,Accessories,12.99,160,45,4.0,1,0,0.6526
running,Footwear,5,running,Accessories,19.99,130,35,3.9,1,0,0.611
running,Safety,12,skating,Safety,44.99,155,40,4.5,0,1,0.383
running,Accessories,11,skating,Safety,29.99,170,45,4.2,0,0,0.2295
skating,Accessories,8,cycling,Accessories,12.99,160,45,4.0,0,1,0.4102
skating,Accessories,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2592
skating,Accessories,6,cycling,Safety,49.99,280,70,4.7,0,0,0.3201
skating,Safety,5,running,Accessories,19.99,130,35,3.9,0,0,0.2803
cycling,Accessories,4,running,Accessories,15.99,150,40,3.8,0,1,0.3511
running,Clothing,6,cycling,Safety,49.99,280,70,4.7,0,0,0.3937
running,Clothing,4,running,Accessories,15.99,150,40,3.8,1,0,0.5154
running,Safety,5,running,Accessories,19.99,130,35,3.9,1,0,0.5934
skating,Accessories,2,running,Clothing,29.99,210,60,4.2,0,0,0.2894
running,Accessories,4,running,Accessories,15.99,150,40,3.8,1,1,0.8271
cycling,Clothing,5,running,Accessories,19.99,130,35,3.9,0,0,0.1699
running,Clothing,5,running,Accessories,19.99,130,35,3.9,1,0,0.5906
running,Footwear,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2374
cycling,Clothing,11,skating,Safety,29.99,170,45,4.2,0,0,0.1965
cycling,Footwear,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2425
running,Accessories,8,cycling,Accessories,12.99,160,45,4.0,0,1,0.4474
cycling,Safety,6,cycling,Safety,49.99,280,70,4.7,1,1,0.8524
running,Footwear,5,running,Accessories,19.99,130,35,3.9,1,0,0.646
cycling,Footwear,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2154
running,Safety,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2701
running,Footwear,3,running,Clothing,9.99,180,95,4.0,1,0,0.7645
running,Accessories,2,running,Clothing,29.99,210,60,4.2,1,0,0.6186
running,Footwear,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.234
cycling,Clothing,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2584
skating,Safety,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.26
cycling,Accessories,14,skating,Clothing,11.99,120,35,3.7,0,0,0.199
skating,Safety,5,running,Accessories,19.99,130,35,3.9,0,0,0.2069
skating,Footwear,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.2949
skating,Footwear,13,skating,Footwear,89.99,200,55,4.3,1,1,0.7914
running,Clothing,5,running,Accessories,19.99,130,35,3.9,1,0,0.6284
skating,Footwear,3,running,Clothing,9.99,180,95,4.0,0,0,0.3229
running,Clothing,9,cycling,Clothing,59.99,240,65,4.4,0,1,0.4511
running,Clothing,1,running,Footwear,99.99,320,85,4.5,1,0,0.7469
cycling,Safety,12,skating,Safety,44.99,155,40,4.5,0,1,0.4543
skating,Safety,5,running,Accessories,19.99,130,35,3.9,0,0,0.2417
running,Clothing,5,running,Accessories,19.99,130,35,3.9,1,0,0.6663
skating,Accessories,12,skating,Safety,44.99,155,40,4.5,1,0,0.6141
cycling,Footwear,11,skating,Safety,29.99,170,45,4.2,0,0,0.2601
running,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2055
skating,Clothing,7,cycling,Clothing,24.99,200,55,4.3,0,1,0.4697
running,Clothing,11,skating,Safety,29.99,170,45,4.2,0,0,0.2195
running,Accessories,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2049
running,Footwear,1,running,Footwear,99.99,320,85,4.5,1,1,0.9218
running,Accessories,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.1901
skating,Accessories,8,cycling,Accessories,12.99,160,45,4.0,0,1,0.5341
running,Safety,12,skating,Safety,44.99,155,40,4.5,0,1,0.3627
cycling,Safety,5,running,Accessories,19.99,130,35,3.9,0,0,0.1403
skating,Safety,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2874
running,Footwear,15,skating,Accessories,34.99,140,38,3.9,0,0,0.2401
cycling,Accessories,10,cycling,Clothing,39.99,190,50,4.1,1,0,0.6622
cycling,Footwear,2,running,Clothing,29.99,210,60,4.2,0,0,0.2914
running,Footwear,13,skating,Footwear,89.99,200,55,4.3,0,1,0.4204
skating,Accessories,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.1861
running,Clothing,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2333
skating,Safety,15,skating,Accessories,34.99,140,38,3.9,1,0,0.5666
cycling,Clothing,10,cycling,Clothing,39.99,190,50,4.1,1,1,0.8798
cycling,Safety,2,running,Clothing,29.99,210,60,4.2,0,0,0.2527
cycling,Accessories,7,cycling,Clothing,24.99,200,55,4.3,1,0,0.6122
cycling,Accessories,11,skating,Safety,29.99,170,45,4.2,0,0,0.2099
running,Clothing,6,cycling,Safety,49.99,280,70,4.7,0,0,0.3077
cycling,Safety,5,running,Accessories,19.99,130,35,3.9,0,0,0.1728
skating,Safety,14,skating,Clothing,11.99,120,35,3.7,1,0,0.5589
skating,Footwear,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2417
running,Accessories,5,running,Accessories,19.99,130,35,3.9,1,1,0.8133
cycling,Footwear,13,skating,Footwear,89.99,200,55,4.3,0,1,0.3957
cycling,Footwear,11,skating,Safety,29.99,170,45,4.2,0,0,0.2025
skating,Safety,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2651
running,Clothing,9,cycling,Clothing,59.99,240,65,4.4,0,1,0.3896
cycling,Safety,11,skating,Safety,29.99,170,45,4.2,0,1,0.3556
cycling,Footwear,4,running,Accessories,15.99,150,40,3.8,0,0,0.1771
cycling,Clothing,15,skating,Accessories,34.99,140,38,3.9,0,0,0.1898
cycling,Safety,15,skating,Accessories,34.99,140,38,3.9,0,0,0.2161
skating,Safety,2,running,Clothing,29.99,210,60,4.2,0,0,0.3338
running,Clothing,12,skating,Safety,44.99,155,40,4.5,0,0,0.2559
running,Accessories,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.254
running,Safety,2,running,Clothing,29.99,210,60,4.2,1,0,0.6591
running,Footwear,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.1794
running,Clothing,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2286
skating,Accessories,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2476
skating,Accessories,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2696
cycling,Safety,4,running,Accessories,15.99,150,40,3.8,0,0,0.1716
cycling,Clothing,7,cycling,Clothing,24.99,200,55,4.3,1,1,0.8795
